card_ID,groupName,tradHanzi,simpleHanzi,pinyin,english
62,HSK Level 1,米飯,米饭,mǐ fàn ,(cooked) rice
63,HSK Level 1,明天,明天,míng tiān ,tomorrow
64,HSK Level 1,名字,名字,míng zi ,name (of a person or thing)/CL:個|个[ge4]
65,HSK Level 1,哪,哪,nǎ ,how/which
66,HSK Level 1,哪兒,哪儿,nǎ r ,where?/wherever/anywhere
67,HSK Level 1,那,那,nà ,"that/those/then (in that case)/commonly pr. nei4 before a classifier, esp. in Beijing"
68,HSK Level 1,那兒,那儿,nà r ,there
69,HSK Level 1,呢,呢,ne ,(question particle for subjects already mentioned)
70,HSK Level 1,能,能,néng ,to be able to/to be capable of/ability/capability/able/capable/can possibly/(usually used in the negative) to have the possibility of
71,HSK Level 1,你,你,nǐ ,"you (informal, as opposed to polite 您[nin2])"
72,HSK Level 1,年,年,nián ,year/CL:個|个[ge4]
73,HSK Level 1,女兒,女儿,nǚ ér ,daughter
74,HSK Level 1,朋友,朋友,péng you ,"friend/CL:個|个[ge4],位[wei4]"
75,HSK Level 1,漂亮,漂亮,piào liang ,pretty/beautiful
76,HSK Level 1,蘋果,苹果,píng guǒ ,"apple/CL:個|个[ge4],顆|颗[ke1]"
77,HSK Level 1,七,七,qī ,seven/7
78,HSK Level 1,錢,钱,qián ,coin/money/CL:筆|笔[bi3]
79,HSK Level 1,前面,前面,qián miàn ,ahead/in front/preceding/above
80,HSK Level 1,請,请,qǐng ,to ask/to invite/please (do sth)/to treat (to a meal etc)/to request
81,HSK Level 1,去,去,qù ,to go/to go to (a place)/to cause to go or send (sb)/to remove/to get rid of/(when used either before or after a verb) to go in order to do sth/to be apart from in space or time/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)/(of a time or an event etc) just passed or elapsed
82,HSK Level 1,熱,热,rè ,heat/to heat up/fervent/hot (of weather)/warm up
83,HSK Level 1,人,人,rén ,"man/person/people/CL:個|个[ge4],位[wei4]"
84,HSK Level 1,認識,认识,rèn shi ,to know/to recognize/to be familiar with/acquainted with sth/knowledge/understanding/awareness/cognition
85,HSK Level 1,日,日,rì ,"sun/day/date, day of the month/abbr. for 日本|日本 Japan"
86,HSK Level 1,三,三,sān ,three/3
87,HSK Level 1,商店,商店,shāng diàn ,"store/shop/CL:家[jia1],個|个[ge4]"
88,HSK Level 1,上午,上午,shàng wǔ ,morning/CL:個|个[ge4]
89,HSK Level 1,少,少,shǎo ,few/little/lack
90,HSK Level 1,誰,谁,shéi ,who/also pronounced shui2
91,HSK Level 1,什麼,什么,shén me ,what?/who?/something/anything
92,HSK Level 1,十,十,shí ,ten/10
93,HSK Level 1,時候,时候,shí hou ,time/length of time/moment/period
94,HSK Level 1,是,是,shì ,is/are/am/yes/to be
95,HSK Level 1,書,书,shū ,"book/letter/CL:本[ben3],冊|册[ce4],部[bu4]/see also 書經|书经 Book of History"
96,HSK Level 1,水,水,shuǐ ,water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes
97,HSK Level 1,睡覺,睡觉,shuì jiào ,to go to bed/to go to sleep
98,HSK Level 1,說話,说话,shuō huà ,to speak/to say/to talk/to gossip/to tell stories/talk/word
99,HSK Level 1,四,四,sì ,four/4
100,HSK Level 1,歲,岁,suì ,classifier for years (of age)/year/year (of crop harvests)
101,HSK Level 1,他,他,tā ,he or him/(used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/other/another
102,HSK Level 1,她,她,tā ,she
103,HSK Level 1,太,太,tài ,highest/greatest/too (much)/very/extremely
104,HSK Level 1,天氣,天气,tiān qì ,weather
105,HSK Level 1,聽,听,tīng ,to listen/to hear/to obey/a can (loanword from English 'tin')/classifier for canned beverages
106,HSK Level 1,同學,同学,tóng xué ,"(fellow) classmate/CL:位[wei4],個|个[ge4]"
107,HSK Level 1,,喂,wèi ,"hello (interj., esp. on telephone)/hey/to feed (sb or some animal)"
108,HSK Level 1,我,我,wǒ ,I/me/my
109,HSK Level 1,我們,我们,wǒ men ,we/us/ourselves/our
110,HSK Level 1,五,五,wǔ ,five/5
111,HSK Level 1,喜歡,喜欢,xǐ huan ,to like/to be fond of
112,HSK Level 1,下,下,xià ,down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down
113,HSK Level 1,下午,下午,xià wǔ ,afternoon/p.m./CL:個|个[ge4]
114,HSK Level 1,下雨,下雨,xià yǔ ,to rain/rainy
115,HSK Level 1,先生,先生,xiān sheng ,"teacher/Mister (Mr.)/husband/doctor (topolect)/CL:個|个[ge4],位[wei4]"
116,HSK Level 1,現在,现在,xiàn zài ,now/at present/at the moment/modern/current/nowadays
117,HSK Level 1,想,想,xiǎng ,to think/to believe/to suppose/to wish/to want/to miss
118,HSK Level 1,小,小,xiǎo ,small/tiny/few/young
119,HSK Level 1,小姐,小姐,xiǎo jie ,"young lady/miss/CL:個|个[ge4],位[wei4]"
120,HSK Level 1,些,些,xiē ,some/few/several/(a measure word)
121,HSK Level 1,寫,写,xiě ,to write
122,HSK Level 1,謝謝,谢谢,xiè xie ,to thank/thanks
123,HSK Level 1,星期,星期,xīng qī ,week/CL:個|个[ge4]
124,HSK Level 1,學生,学生,xué sheng ,student/school child
125,HSK Level 1,學習,学习,xué xí ,to learn/to study
126,HSK Level 1,學校,学校,xué xiào ,school/CL:所[suo3]
127,HSK Level 1,一,一,yī ,one/1/single/a (article)/as soon as/entire/whole/all/throughout/'one' radical in Chinese characters (Kangxi radical 1)
128,HSK Level 1,衣服,衣服,yī fu ,"clothes/CL:件[jian4],套[tao4]"
129,HSK Level 1,醫生,医生,yī shēng ,"doctor/CL:個|个[ge4],位[wei4],名[ming2]"
130,HSK Level 1,醫院,医院,yī yuàn ,"hospital/CL:所[suo3],家[jia1],座[zuo4]"
131,HSK Level 1,椅子,椅子,yǐ zi ,"chair/CL:把[ba3],套[tao4]"
132,HSK Level 1,有,有,yǒu ,to have/there is/there are/to exist/to be
133,HSK Level 1,月,月,yuè ,"moon/month/CL:個|个[ge4],輪|轮[lun2]"
134,HSK Level 1,在,在,zài ,(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress)
135,HSK Level 1,再見,再见,zài jiàn ,goodbye/see you again later
136,HSK Level 1,,怎么,zěn me ,how?/what?/why?
137,HSK Level 1,怎麼樣,怎么样,zěn me yàng ,how?/how about?/how was it?/how are things?
